field1,GEOID,STATE,PLACENS,BLKGRP,BLOCK,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,GEOID10,field1:1,GEOID10:1,BLOCKCE10,INTPTLAT10,INTPTLON10
21073,4.82015E+14,48,2410796,1,1009,127,8,119,99,82,0,0,15,2,0,20,155,9,146,126,105,0,0,19,2,0,20,4.82015E+14,595102,4.82015E+14,1009,29.7586139,-95.5770092
21074,4.82015E+14,48,2410796,1,1010,90,15,75,69,48,13,0,8,0,0,6,109,21,88,82,55,13,0,13,0,1,6,4.82015E+14,699905,4.82015E+14,1010,29.7586206,-95.5778566
21075,4.82015E+14,48,2410796,1,1011,94,11,83,82,57,9,0,12,0,4,1,110,13,97,94,66,9,0,15,0,4,3,4.82015E+14,363513,4.82015E+14,1011,29.7588936,-95.5783642
21076,4.82015E+14,48,2410796,2,2000,107,18,89,84,71,5,0,8,0,0,5,115,18,97,89,71,10,0,8,0,0,8,4.82015E+14,553793,4.82015E+14,2000,29.7551956,-95.5844974
21077,4.82015E+14,48,2410796,2,2001,177,21,156,154,145,2,0,5,0,2,2,193,26,167,164,150,5,0,7,0,2,3,4.82015E+14,528628,4.82015E+14,2001,29.7536728,-95.5829709
21078,4.82015E+14,48,2410796,2,2002,76,7,69,66,49,4,0,13,0,0,3,89,7,82,77,55,4,0,16,0,2,5,4.82015E+14,510758,4.82015E+14,2002,29.7561576,-95.5870556
21079,4.82015E+14,48,2410796,2,2003,254,39,215,215,181,18,0,16,0,0,0,295,49,246,245,206,22,0,17,0,0,1,4.82015E+14,856623,4.82015E+14,2003,29.7534486,-95.5817863
21080,4.82015E+14,48,2410796,2,2004,68,13,55,55,46,0,0,9,0,0,0,92,23,69,67,52,0,0,14,0,1,2,4.82015E+14,423188,4.82015E+14,2004,29.7535876,-95.5823037
21081,4.82015E+14,48,2410796,2,2005,115,17,98,98,79,0,0,15,0,4,0,131,21,110,106,87,0,0,15,0,4,4,4.82015E+14,371129,4.82015E+14,2005,29.7534624,-95.5842748
21082,4.82015E+14,48,2410796,2,2006,487,203,284,270,98,145,0,27,0,0,14,682,284,398,377,120,224,0,33,0,0,21,4.82015E+14,808460,4.82015E+14,2006,29.7536316,-95.5836334
21083,4.82015E+14,48,2410796,2,2007,39,7,32,24,18,2,0,4,0,0,8,51,15,36,26,20,2,0,4,0,0,10,4.82015E+14,511565,4.82015E+14,2007,29.7521188,-95.5838922
21084,4.82015E+14,48,2410796,3,3000,215,22,193,193,106,57,0,28,0,2,0,263,28,235,230,126,65,0,37,0,2,5,4.82015E+14,441765,4.82015E+14,3000,29.7563379,-95.577608
21085,4.82015E+14,48,2410796,3,3001,731,273,458,444,152,236,0,52,1,3,14,953,375,578,551,166,320,0,58,1,6,27,4.82015E+14,893771,4.82015E+14,3001,29.7556379,-95.5789969
21086,4.82015E+14,48,2410796,3,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,322165,4.82015E+14,3002,29.7563218,-95.5794254
21087,4.82015E+14,48,2410796,1,1000,169,9,160,156,139,0,0,17,0,0,4,211,19,192,184,167,0,0,17,0,0,8,4.82015E+14,466487,4.82015E+14,1000,29.7587162,-95.5905953
21088,4.82015E+14,48,2410796,1,1001,43,5,38,38,37,1,0,0,0,0,0,55,5,50,49,48,1,0,0,0,0,1,4.82015E+14,537453,4.82015E+14,1001,29.7594068,-95.5914428
21089,4.82015E+14,48,2410796,1,1002,34,5,29,27,18,3,0,1,0,5,2,46,5,41,37,28,3,0,1,0,5,4,4.82015E+14,652164,4.82015E+14,1002,29.7618521,-95.605916
21090,4.82015E+14,48,2410796,1,1003,53,8,45,44,38,6,0,0,0,0,1,66,9,57,55,49,6,0,0,0,0,2,4.82015E+14,638021,4.82015E+14,1003,29.759898,-95.6019832
21091,4.82015E+14,48,2410796,1,1004,123,2,121,120,114,6,0,0,0,0,1,144,4,140,137,126,6,0,5,0,0,3,4.82015E+14,570288,4.82015E+14,1004,29.7582148,-95.6036735
21092,4.82015E+14,48,2410796,1,1005,75,15,60,60,60,0,0,0,0,0,0,91,20,71,70,70,0,0,0,0,0,1,4.82015E+14,329839,4.82015E+14,1005,29.759513,-95.6036136
21093,4.82015E+14,48,2410796,1,1006,64,10,54,52,46,4,0,2,0,0,2,71,12,59,56,50,4,0,2,0,0,3,4.82015E+14,851010,4.82015E+14,1006,29.7589083,-95.596285
21094,4.82015E+14,48,2410796,1,1007,129,12,117,114,100,6,1,4,0,3,3,152,14,138,135,121,6,1,4,0,3,3,4.82015E+14,767960,4.82015E+14,1007,29.7568897,-95.5946752
21095,4.82015E+14,48,2410796,1,1008,56,14,42,37,36,0,0,1,0,0,5,80,16,64,58,54,3,0,1,0,0,6,4.82015E+14,100232,4.82015E+14,1008,29.7576144,-95.5945956
21096,4.82015E+14,48,2410796,1,1009,67,10,57,51,43,0,0,8,0,0,6,82,14,68,62,52,0,0,10,0,0,6,4.82015E+14,470740,4.82015E+14,1009,29.757157,-95.5970649
21097,4.82015E+14,48,2410796,1,1010,91,24,67,66,66,0,0,0,0,0,1,108,27,81,79,78,0,0,0,0,1,2,4.82015E+14,822523,4.82015E+14,1010,29.7563605,-95.5968739
21098,4.82015E+14,48,2410796,1,1011,122,5,117,115,101,7,0,7,0,0,2,161,6,155,153,131,8,0,14,0,0,2,4.82015E+14,136228,4.82015E+14,1011,29.7548337,-95.5970018
21099,4.82015E+14,48,2410796,1,1012,59,6,53,52,47,0,0,5,0,0,1,73,11,62,58,51,0,0,7,0,0,4,4.82015E+14,380161,4.82015E+14,1012,29.7546873,-95.598812
21100,4.82015E+14,48,2410796,1,1013,75,12,63,62,56,0,0,6,0,0,1,90,17,73,70,61,0,0,9,0,0,3,4.82015E+14,893772,4.82015E+14,1013,29.756962,-95.6003786
21101,4.82015E+14,48,2410796,2,2000,78,22,56,56,54,0,2,0,0,0,0,95,32,63,63,61,0,2,0,0,0,0,4.82015E+14,382656,4.82015E+14,2000,29.7563184,-95.5902218
21102,4.82015E+14,48,2410796,2,2001,58,10,48,48,37,3,1,5,0,2,0,70,13,57,57,45,3,1,6,0,2,0,4.82015E+14,652165,4.82015E+14,2001,29.755091,-95.5879297
21103,4.82015E+14,48,2410796,2,2002,101,9,92,83,79,1,0,3,0,0,9,118,11,107,97,93,1,0,3,0,0,10,4.82015E+14,299701,4.82015E+14,2002,29.75464,-95.5897163
21104,4.82015E+14,48,2410796,2,2003,86,18,68,68,55,2,0,11,0,0,0,123,27,96,93,80,2,0,11,0,0,3,4.82015E+14,836780,4.82015E+14,2003,29.7533904,-95.5920454
21105,4.82015E+14,48,2410796,2,2004,108,21,87,82,67,4,0,11,0,0,5,140,30,110,98,82,5,0,11,0,0,12,4.82015E+14,18575,4.82015E+14,2004,29.7539528,-95.5941817
21106,4.82015E+14,48,2410796,2,2005,104,24,80,76,62,0,0,14,0,0,4,114,29,85,81,62,0,0,19,0,0,4,4.82015E+14,753579,4.82015E+14,2005,29.7549296,-95.5954409
21107,4.82015E+14,48,2410796,2,2006,105,26,79,74,61,9,0,4,0,0,5,123,30,93,88,72,10,0,5,0,1,5,4.82015E+14,277003,4.82015E+14,2006,29.7541041,-95.595929
21108,4.82015E+14,48,2410796,2,2007,59,2,57,56,50,1,0,5,0,0,1,68,5,63,62,54,3,0,5,0,0,1,4.82015E+14,383839,4.82015E+14,2007,29.7515169,-95.5917838
21109,4.82015E+14,48,2410796,2,2008,87,14,73,73,57,0,0,16,0,0,0,93,17,76,75,59,0,0,16,0,0,1,4.82015E+14,580826,4.82015E+14,2008,29.7525343,-95.5905406
21110,4.82015E+14,48,2410796,2,2009,84,13,71,70,53,6,0,11,0,0,1,110,20,90,89,70,8,0,11,0,0,1,4.82015E+14,175268,4.82015E+14,2009,29.7532353,-95.58876
21111,4.82015E+14,48,2410796,2,2010,108,9,99,96,90,1,0,5,0,0,3,131,14,117,114,104,1,0,9,0,0,3,4.82015E+14,879317,4.82015E+14,2010,29.7521888,-95.5888158
21112,4.82015E+14,48,2410796,2,2011,58,8,50,47,44,1,2,0,0,0,3,71,16,55,51,47,1,2,0,0,1,4,4.82015E+14,780579,4.82015E+14,2011,29.7515201,-95.5861414
